"playerId","player","team","position","age","exp","bye","points","lower","upper","sdPts","positionRank","dropoff","tier","ptSpread","overallECR","positionECR","sdRank","risk","sleeper","salary"
2558865,"Chris Carson","SEA","RB",25,2,11,10.1454003984926,5.78132352941176,12.1398596181951,2.41994969092267,19,0.258127196644821,6,6.35853608878334,NA,11.5,3.1,4.19253575022503,NA,7000
2534797,"Greg Zuerlein","LAR","K",32,7,9,10.0939215138555,8.65,10.9083272171254,1.13326706363231,2,0.648775313892203,2,2.25832721712538,NA,1.3,0.5,3.29854088240122,NA,NA
2506106,"Larry Fitzgerald","ARI","WR",36,15,12,10.0820976972325,8.27529045226131,12.1071192122392,2.35928355441133,20,0.0608717327398818,4,3.83182875997784,NA,19.7,3.2,3.40227054667716,NA,5900
2541785,"Adam Thielen","MIN","WR",29,5,12,10.080680386765,8.21,11.9704321512602,2.34946265717287,21,0.362769207898879,4,3.76043215126021,NA,19.1,3.2,3.40227054667716,NA,7000
2560813,"D.J. Moore","CAR","WR",22,1,7,9.96177154222021,8.43533,11.9820353668474,2.65854658215635,22,0.499563262866198,4,3.54670536684743,NA,27.8,4.1,3.90452329827195,NA,6400
2543743,"Carlos Hyde","HOU","RB",28,5,10,9.90400789317355,7.39,11.2910723130048,1.82862489845725,20,0.206827675198634,7,3.9010723130048,NA,26.2,3.2,4.2721658651798,NA,5900
2562377,"Josh Jacobs","OAK","RB",49,0,6,9.87053851052194,6.85455882352941,11.1667157250134,1.71105424229444,21,0.368012973501594,7,4.312156901484,NA,17.4,2.2,3.47586471563213,NA,6000
2536340,"Justin Tucker","BAL","K",30,7,8,9.84934155646548,9.05,10.5803515917068,0.845920501090113,3,0.888792683250056,2,1.53035159170684,NA,3.1,0.8,3.29515724026268,NA,NA
2556593,"Cory Littleton","LAR","LB",26,3,9,9.79122897602799,8.44649284253579,10.8762487680777,1.3925418739697,1,0.824663849741297,1,2.42975592554196,NA,2.5,1.3,2.97808303869517,NA,NA
2557952,"Wayne Gallman","NYG","RB",25,2,11,9.52382192542789,8.64451,10.0286659239605,0.595626361677182,22,0.18315028554748,7,1.38415592396051,NA,23.2,2.6,3.7943851754512,NA,5800
2543583,"Devonta Freeman","ATL","RB",27,5,9,9.48122914861281,7.40857,10.7838558478261,1.65842186641043,23,0.281355853090693,7,3.37528584782609,NA,19.8,1.6,2.99808402590353,NA,6200
2532884,"Marvin Jones","DET","WR",29,7,5,9.47405081551201,7.718,11.396960902136,2.44776222150539,23,0.0837068248174742,4,3.67896090213601,NA,30.6,5.2,4.51838777244336,NA,5900
2562489,"Terry McLaurin","WAS","WR",49,0,10,9.45036574319602,7.81,11.3601410845762,2.25774616865464,24,0.149497772436058,4,3.55014108457619,NA,23.1,4.7,4.23935846600181,NA,6300
2560781,"Christian Kirk","ARI","WR",23,1,12,9.33032223819305,6.3966351758794,11.8525769796187,2.71693141957531,25,0.190412385389696,4,5.45594180373929,NA,25.3,3.3,3.45807640796547,NA,5900
2543509,"Allen Robinson","CHI","WR",26,5,6,9.27141370332688,6.76015075376885,11.3244694975098,2.52662101541439,26,0.322649950959539,4,4.56431874374092,NA,28,3.5,3.56968813054209,NA,7000
