	ID	dropoff	lineup_cost	lineup_id	lineup_position	lineup_score	lower	player	points	position	positionECR	positionRank	projected_ownership	ptSpread	risk	salary	score	team	tier	upper
59	13425426	0.595346469418631	49800.0	3819407116	DST	33.95731421356421	0.7301587301587301	Patriots	0.6190476190476191	DST	0.9032258064516129	3	0.8333333333333334	0.16666666666666666	4.03170247100571	3700.0	3.7554563492063493	NE	0.1626984126984127	0.5714285714285714
81	13424810	0.20682767519863396	49800.0	3819407116	FLEX	33.95731421356421	0.4444444444444444	Carlos Hyde	0.47619047619047616	RB	0.6451612903225806	20	0.7647058823529411	0.6587301587301587	4.2721658651798	4300.0	2.8479437229437226	HOU	0.9365079365079365	0.40476190476190477
91	13425250	0.0986883162726873	49800.0	3819407116	TE	33.95731421356421	0.42063492063492064	Darren Waller	0.4126984126984127	TE	0.11290322580645161	3	0.5490196078431373	0.7777777777777778	7.718240333356791	5200.0	3.1016143578643582	OAK	0.1626984126984127	0.49206349206349204
3	13424689	0.6441228842228921	49800.0	3819407116	QB	33.95731421356421	0.9920634920634921	Deshaun Watson	0.9761904761904762	QB	0.08870967741935484	4	0.22549019607843138	0.1746031746031746	3.59754608037263	6400.0	5.43779761904762	HOU	0.1626984126984127	0.9682539682539683
49	13424962	0.291202831794791	49800.0	3819407116	WR1	33.95731421356421	0.7380952380952381	Odell Beckham	0.6904761904761905	WR	0.1532258064516129	10	0.10784313725490197	0.6031746031746031	2.67679434992914	7300.0	4.231123737373737	CLE	0.1626984126984127	0.7222222222222222
190	13425262	1.16685148620025	50000.0	1566571738	TE	33.955257936507934	0.12698412698412698	Eric Ebron	0.14285714285714285	TE	0.375	9	0.803921568627451	0.5952380952380952	7.09376706096843	4000.0	1.9176316738816737	IND	0.3373015873015873	0.2222222222222222
31	13424774	0.0974360570099986	50000.0	1566571738	RB2	33.955257936507934	0.8174603174603174	Kerryon Johnson	0.7857142857142857	RB	0.4596774193548387	10	0.4803921568627451	0.30952380952380953	3.0777141408582995	5400.0	4.399224386724386	DET	0.5238095238095238	0.7301587301587301
56	13425424	0.44532193516317303	50000.0	1566571738	DST	33.955257936507934	0.6984126984126984	Chargers	0.6349206349206349	DST	0.8951612903225806	2	0.8235294117647058	0.2222222222222222	3.9498111388721604	3800.0	3.7237103174603177	LAC	0.1626984126984127	0.5634920634920635
35	13424756	0.526742817426348	50000.0	1566571738	FLEX	33.955257936507934	0.8015873015873016	David Johnson	0.7619047619047619	RB	0.25	13	0.1568627450980392	0.3492063492063492	2.8388237959939997	6800.0	4.333315295815296	ARI	0.7142857142857143	0.7063492063492064
49	13424962	0.291202831794791	50000.0	1566571738	WR1	33.955257936507934	0.7380952380952381	Odell Beckham	0.6904761904761905	WR	0.1532258064516129	10	0.10784313725490197	0.6031746031746031	2.67679434992914	7300.0	4.231123737373737	CLE	0.1626984126984127	0.7222222222222222
38	13424978	0.269632474858307	50000.0	1566571738	WR3	33.955257936507934	0.6825396825396826	Tyler Lockett	0.746031746031746	WR	0.18548387096774194	5	0.24509803921568626	0.8571428571428571	2.78840607250576	6300.0	4.304374098124098	SEA	0.1626984126984127	0.7857142857142857
94	13424768	0.835376299546168	50000.0	1566571738	RB1	33.955257936507934	0.49206349206349204	Sony Michel	0.3888888888888889	RB	0.5846774193548387	25	0.46078431372549017	0.19047619047619047	5.06846701472746	5500.0	2.670544733044733	NE	0.9365079365079365	0.2777777777777778
88	13425040	0.14949777243605802	50000.0	1566571738	WR2	33.955257936507934	0.47619047619047616	Terry McLaurin	0.4365079365079365	WR	0.6088709677419355	24	0.7450980392156863	0.5317460317460317	4.23935846600181	4500.0	2.937536075036075	WAS	0.5238095238095238	0.42063492063492064
3	13424689	0.6441228842228921	50000.0	1566571738	QB	33.955257936507934	0.9920634920634921	Deshaun Watson	0.9761904761904762	QB	0.08870967741935484	4	0.22549019607843138	0.1746031746031746	3.59754608037263	6400.0	5.43779761904762	HOU	0.1626984126984127	0.9682539682539683
